Sheet,Field,Description,Type,Question Format,Possible Responses,Purpose
DOH COVID Data Drop - 05 DOH Data Collect - Daily Report,cfname,Facility Name,Text,,,used for referral of patients; total isolation beds can be derived using these variables
DOH COVID Data Drop - 05 DOH Data Collect - Daily Report,id,,Numeric/Float,,,
DOH COVID Data Drop - 05 DOH Data Collect - Daily Report,updateddate,,Datetime,,,
DOH COVID Data Drop - 05 DOH Data Collect - Daily Report,addeddate,,Datetime,,,
DOH COVID Data Drop - 05 DOH Data Collect - Daily Report,hfhudcode,Health Facility Code. Unique identifier for the health facility based on the National Health Facility Registry,Text,,,
DOH COVID Data Drop - 05 DOH Data Collect - Daily Report,reportdate,Date of submission,Datetime,,,
DOH COVID Data Drop - 05 DOH Data Collect - Daily Report,icu_o,"Total number of ICU beds with or without negative pressure in your facility that are currently occupied by suspect, probable, or confirmed COVID-19 patients",Numeric,"Out of your DEDICATED ICU beds for Suspect, Probable, and Confirmed COVID-19 patients (as of 8am today), what is the # of occupied?",,used for referral of patients; total ICU beds can be derived using these variables
DOH COVID Data Drop - 05 DOH Data Collect - Daily Report,icu_v,"Total number of ICU beds with or without negative pressure in your facility that are currently vacant and available for use by suspect, probable, or confirmed COVID-19 patients",Numeric,"Out of your DEDICATED ICU beds for Suspect, Probable, and Confirmed COVID-19 patients (as of 8am today), what is the # of vacant and available?",,used for referral of patients; total ICU beds can be derived using these variables
DOH COVID Data Drop - 05 DOH Data Collect - Daily Report,beds_ward_o,Total number of beds in converted wards/units dedicated for confirmed COVID-19 cases in your facility that are currently occupied. Wards are not allowed for Suspect or Probable cases (PUIs) and should not included.,Numeric,"Out of your beds in converted ward/s DEDICATED for CONFIRMED COVID-19 cases (as of 8am today), what is the # of occupied?",,used for referral of patients; total beds in COVID positive wards can be derived using these variables
DOH COVID Data Drop - 05 DOH Data Collect - Daily Report,beds_ward_v,Total number of beds in converted wards/units dedicated for confirmed COVID-19 cases in your facility that are currently vacant and available for use. Wards are not allowed for Suspect or Probable cases (PUIs) and should not included.,Numeric,"Out of your beds in converted ward/s DEDICATED for CONFIRMED COVID-19 cases (as of 8am today), what is the # of vacant and available?",,used for referral of patients; proxy for number of intubated patients; total mech vents can be derived using these variables
DOH COVID Data Drop - 05 DOH Data Collect - Daily Report,isolbed_o,"Total number of isolation beds and converted/makeshift isolation beds based on DOH standardsin your facility that are currently occupied by suspect, probable, or confirmed COVID-19 patients",Numeric,"Out of your DEDICATED Isolation beds and converted/makeshift isolation beds (excluding ICU beds) for Suspect, Probable, and Confirmed COVID-19 patients (as of 8am today), what is the # of occupied?",,used for referral of patients; total beds in COVID positive wards can be derived using these variables
DOH COVID Data Drop - 05 DOH Data Collect - Daily Report,isolbed_v,Total number of isolation beds and converted/makeshift isolation beds based on DOH standards in your facility that are currently vacant and available for use.,Numeric,"Out of your DEDICATED Isolation beds and converted/makeshift isolation beds (excluding ICU beds) for Suspect, Probable, and Confirmed COVID-19 patients (as of 8am today), what is the # of vacant and available?",,used for referral of patients; proxy for number of intubated patients; total mech vents can be derived using these variables
DOH COVID Data Drop - 05 DOH Data Collect - Daily Report,mechvent_o,"Total number of mechanical ventilators in your facility, whether outsourced or in-house, that are currently occupied by PUIs (Suspect or Probable patients) or Confirmed COVID-19 patients",Numeric,"Out of your DEDICATED mechanical ventilators for Suspect, Probable, and Confirmed COVID-19 patients (as of 8am today), what is the # of occupied?",,used for referral of patients; total isolation beds can be derived using these variables
DOH COVID Data Drop - 05 DOH Data Collect - Daily Report,mechvent_v,Total number of mechanical ventilators that are vacant and available for use by PUIs (Suspect or Probable patients) or Confirmed COVID-19 patients,Numeric,"Out of your DEDICATED mechanical ventilators for Suspect, Probable, and Confirmed COVID-19 patients (as of 8am today), what is the # of vacant and available?",,used for referral of patients; total isolation beds can be derived using these variables
DOH COVID Data Drop - 05 DOH Data Collect - Daily Report,icu_v_nc,Total number of ICU beds with or without negative pressure in your facility that are currently vacant and available for use by Non-COVID-19 patients,Numeric,"Out of your ICU beds for patients that are not for Suspect, Probable nor Confirmed COVID-19 cases (as of 8am today), what is the # of vacant and available?",,
DOH COVID Data Drop - 05 DOH Data Collect - Daily Report,icu_o_nc,Total number of ICU beds with or without negative pressure in your facility that are currently occupied by Non-COVID-19 patients,Numeric,"Out of your ICU beds for patients that are not for Suspect, Probable nor Confirmed COVID-19 cases (as of 8am today), what is the # of occupied?",,
DOH COVID Data Drop - 05 DOH Data Collect - Daily Report,nonicu_v_nc,Total number of non-ICU beds (including wards and isolation beds and all other non-ICU beds) dedicated for Non-COVID-19 cases in your facility that are currently vacant and available for use,Numeric,"Out of your non-ICU beds for patients that are not for Suspect, Probable nor Confirmed COVID-19 cases (as of 8am today), what is the # of vacant and available?",,
